Board Position	Name	Property Group #	Cost to buy	Mortgage value	Rent_0	Rent_m	Rent_1	Rent_2	Rent_3	Rent_4	Rent_h	House Cost	Property?	Chance?	Community Chest?	Railroad?	Utility?	Fine $
0	Go	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Mediterranean Avenue	1	60	30	2	4	10	30	90	160	250	50	1	0	0	0	0	0
2	Community Chest	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3	Baltic Avenue	1	60	30	4	8	20	60	180	320	450	50	1	0	0	0	0	0
4	Income Tax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
5	Reading Railroad	9	200	100	25	50	100	200	0	0	0	0	1	0	0	1	0	0
6	Oriental Avenue	2	100	50	6	12	30	90	270	400	550	50	1	0	0	0	0	0
7	Chance	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
8	Vermont Avenue	2	100	50	6	12	30	90	270	400	550	50	1	0	0	0	0	0
9	Connecticut Avenue	2	120	60	8	16	40	100	300	450	600	50	1	0	0	0	0	0
10	Jail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	St. Charles Place	3	140	70	10	20	50	150	450	625	750	100	1	0	0	0	0	0
12	Electric Company	10	150	75	4	10	0	0	0	0	0	0	1	0	0	0	1	0
13	States Avenue	3	140	70	10	20	50	150	450	625	750	100	1	0	0	0	0	0
14	Virginia Avenue	3	160	80	12	24	60	180	500	700	900	100	1	0	0	0	0	0
15	Pennsylvania Railroad	9	200	100	25	50	100	200	0	0	0	0	1	0	0	1	0	0
16	St. James Place	4	180	90	14	28	70	200	550	750	950	100	1	0	0	0	0	0
17	Community Chest	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
18	Tennessee Avenue	4	180	90	14	28	70	200	550	750	950	100	1	0	0	0	0	0
19	New Your Avenue	4	200	100	16	32	80	220	600	800	1000	100	1	0	0	0	0	0
20	Free Parking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	Kentucky Avenue	5	220	110	18	36	90	250	700	875	1050	150	1	0	0	0	0	0
22	Chance	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
23	Indiana Avenue	5	220	110	18	36	90	250	700	875	1050	150	1	0	0	0	0	0
24	Illinois Avenue	5	240	120	20	40	100	300	750	925	1100	150	1	0	0	0	0	0
25	B. & O. Railroad	9	200	100	25	50	100	200	0	0	0	0	1	0	0	1	0	0
26	Atlantic Avenue	6	260	130	22	44	110	330	800	975	1150	150	1	0	0	0	0	0
27	Ventnor Avenue	6	260	130	22	44	110	330	800	975	1150	150	1	0	0	0	0	0
28	Water Works	10	150	75	4	10	0	0	0	0	0	0	1	0	0	0	1	0
29	Marvin Gardens	6	280	140	24	48	120	380	850	1025	1200	150	1	0	0	0	0	0
30	Go to Jail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	Pacific Avenue	7	300	150	26	52	130	390	900	1100	1275	200	1	0	0	0	0	0
32	North Carolina Avenue	7	300	150	26	52	130	390	900	1100	1275	200	1	0	0	0	0	0
33	Community Chest	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
34	Pennsylvania Avenue	7	320	160	28	56	150	450	1000	1200	1400	200	1	0	0	0	0	0
35	Short Line	9	200	100	25	50	100	200	0	0	0	0	1	0	0	1	0	0
36	Chance	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
37	Park Place	8	350	175	35	70	175	500	1100	1300	1500	200	1	0	0	0	0	0
38	Luxury Tax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
39	Boardwalk	8	400	200	50	100	200	600	1400	1700	2000	200	1	0	0	0	0	0
